"fecha";"lugar";"local";"away";"id";"pts";"MIN_local";"FG_local";"PT3_local";"TL_local";"OREB_local";"DREB_local";"REB_local";"AST_local";"STL_local";"TOV_local";"PF_local";"PM_local";"PTS_local";"MIN_visita";"FG_visita";"PT3_visita";"TL_visita";"OREB_visita";"DREB_visita";"REB_visita";"AST_visita";"STL_visita";"TOV_visita";"PF_visita";"PM_visita";"PTS_visita"
2023-01-13;"DC";"Wizards";"Knicks";401468789;220;211;6.13005050505051;1.93333333333333;3.33333333333333;11;39;50;25;8;14;10;108;109;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-01-13;"TX";"Spurs";"Warriors";401468790;257;240;4.6726911976912;3.15;6;12;30;42;28;8;14;24;-40;113;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-01-13;"IL";"Bulls";"Thunder";401468791;234;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-01-13;"MN";"Timberwolves";"Suns";401468792;237;0;0;0;0;0;0;0;0;0;0;0;0;0;155;2.43809523809524;1.58333333333333;2.25;8;32;40;11;5;9;10;-15;47
2023-01-13;"UT";"Jazz";"Magic";401468793;220;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-01-13;"CA";"Clippers";"Nuggets";401468794;218;173;4.43434343434343;0.5;5.28571428571429;7;24;31;14;4;5;12;-126;74;216;5.06049783549784;2.9452380952381;5.25;10;41;51;19;5;9;16;137;110
2023-01-13;"CA";"Kings";"Rockets";401468795;253;241;7.54029304029304;4.96363636363636;6.27777777777778;9;36;45;28;4;9;19;100;135;230;5.18286324786325;3.27380952380952;2.51428571428571;8;37;45;27;6;13;23;-98;110
2023-01-14;"FL";"Heat";"Bucks";401468796;206;240;3.34117533653137;1.08311688311688;4.875;18;43;61;22;8;13;8;30;108;284;3.8219696969697;3.04761904761905;2.70833333333333;8;36;44;34;12;14;15;-45;115
2023-01-14;"NC";"Hornets";"Celtics";401468797;228;240;4.67093301435407;2.75;3.26666666666667;6;28;34;33;6;9;19;-60;120;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-01-14;"IN";"Pacers";"Grizzlies";401468798;242;0;0;0;0;0;0;0;0;0;0;0;0;0;193;4.26267752715121;2.85;3.43939393939394;11;32;43;22;6;12;10;19;103
2023-01-14;"ON";"Raptors";"Hawks";401468799;217;241;4.78055555555556;3.72619047619048;4.91666666666667;18;31;49;32;4;11;17;60;132;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-01-14;"MN";"Timberwolves";"Cavaliers";401468800;212;0;0;0;0;0;0;0;0;0;0;0;0;0;240;4.11096681096681;1.63095238095238;5.16666666666667;7;39;46;15;9;14;17;10;90
2023-01-14;"UT";"Jazz";"76ers";401468801;235;0;0;0;0;0;0;0;0;0;0;0;0;0;213;5.04076479076479;2.11388888888889;5.08333333333333;13;27;40;24;10;12;15;44;111
2023-01-14;"OR";"Trail Blazers";"Mavericks";401468802;255;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-01-15;"MI";"Pistons";"Knicks";401468803;221;204;4.33808446455505;2;2.35714285714286;10;31;41;20;8;21;18;-52;91;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-01-15;"CA";"Clippers";"Rockets";401468804;221;188;4.50577200577201;1.25;5.95238095238095;8;28;36;20;6;5;12;-101;77;172;4.62286324786325;3.02380952380952;1.8;7;28;35;19;4;8;17;-79;82
2023-01-15;"IL";"Bulls";"Warriors";401468805;250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-01-15;"NY";"Nets";"Thunder";401468806;214;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-01-15;"TX";"Spurs";"Kings";401468807;251;216;4.1726911976912;2.81666666666667;5;12;25;37;27;8;14;20;-43;104;239;6.54029304029304;3.96363636363636;6.27777777777778;9;36;45;28;4;9;19;97;132
2023-01-15;"CO";"Nuggets";"Magic";401468808;235;213;5.06049783549784;2.61190476190476;5.05;6;39;45;27;5;9;12;146;107;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-01-15;"OR";"Trail Blazers";"Mavericks";401468809;263;238;6.15833333333333;3.4219696969697;5;10;37;47;34;7;9;20;85;136;172;5.2047619047619;3.8;3;2;15;17;18;3;8;15;-51;94
2023-01-15;"CA";"Lakers";"76ers";401468810;225;0;0;0;0;0;0;0;0;0;0;0;0;0;240;5.49531024531024;2.11388888888889;6.08333333333333;14;30;44;24;12;13;17;60;123
2023-01-16;"NC";"Hornets";"Celtics";401468811;248;220;3.95299564270152;1.44642857142857;2.91666666666667;7;34;41;21;3;11;7;-73;98;241;5.47180629827689;3.27380952380952;2;14;32;46;35;8;7;15;80;122
2023-01-16;"WI";"Bucks";"Pacers";401468812;251;267;3.8219696969697;3.04761904761905;2.70833333333333;8;36;44;28;11;12;13;-40;115;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-01-16;"OH";"Cavaliers";"Pelicans";401468813;216;240;4.11096681096681;1.63095238095238;5.16666666666667;7;39;46;15;9;14;17;10;90;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-01-16;"NY";"Knicks";"Raptors";401468814;244;239;3.72310145994357;2.04545454545455;2.71428571428571;13;38;51;19;3;11;23;20;112;242;3.84761904761905;1.66666666666667;4.2209595959596;12;34;46;22;7;7;23;-20;108
2023-01-16;"DC";"Wizards";"Warriors";401468815;245;236;6.55862193362193;2.13333333333333;3.33333333333333;11;42;53;29;8;16;10;115;116;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-01-16;"GA";"Hawks";"Heat";401468816;234;0;0;0;0;0;0;0;0;0;0;0;0;0;219;2.91260390795995;1.08311688311688;4.875;17;40;57;22;6;12;8;29;102
2023-01-16;"MN";"Timberwolves";"Jazz";401468817;251;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-01-16;"TN";"Grizzlies";"Suns";401468818;242;225;4.6472929117666;3.1;4.10606060606061;11;37;48;25;9;13;15;35;118;191;2.77142857142857;1.91666666666667;3.25;8;36;44;14;6;9;15;-15;61
2023-01-16;"CA";"Lakers";"Rockets";401468819;272;0;0;0;0;0;0;0;0;0;0;0;0;0;230;5.18286324786325;3.27380952380952;2.51428571428571;8;37;45;27;6;13;23;-98;110
2023-01-17;"WI";"Bucks";"Raptors";401468820;252;276;3.92891414141414;3.43787878787879;1.625;13;45;58;33;5;18;24;-19;98;264;2.17489193999491;0.785714285714286;3.58333333333333;14;33;47;22;10;8;23;-15;101
2023-01-17;"TX";"Spurs";"Nets";401468821;204;234;6.11544566544567;2.25;2.77380952380952;15;26;41;23;5;17;13;-152;99;183;5.6284188034188;3.07142857142857;3;5;29;34;20;9;9;13;131;87
2023-01-17;"CO";"Nuggets";"Trail Blazers";401468822;235;240;5.56049783549784;2.9452380952381;6.05;10;47;57;28;6;11;16;155;122;238;6.15833333333333;3.4219696969697;5;10;37;47;34;7;9;20;85;136
2023-01-17;"CA";"Clippers";"76ers";401468823;230;202;5.04545454545454;1.7;5.28571428571429;7;31;38;18;5;5;13;-138;83;240;5.49531024531024;2.11388888888889;6.08333333333333;14;30;44;24;12;13;17;60;123
2023-01-18;"NY";"Knicks";"Wizards";401468824;221;240;3.19797570850202;1.55952380952381;4.54166666666667;14;40;54;15;3;7;23;20;112;266;4.86764132553606;2.19285714285714;6.22222222222222;12;41;53;22;3;9;23;-13;115
2023-01-18;"TX";"Mavericks";"Hawks";401468825;252;201;5.57318295739348;3.8;2.66666666666667;2;20;22;24;4;9;17;-72;108;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-01-18;"TX";"Rockets";"Hornets";401468826;239;230;5.18286324786325;3.27380952380952;2.51428571428571;8;37;45;27;6;13;23;-98;110;239;4.55299564270153;1.44642857142857;3.91666666666667;10;36;46;21;3;11;11;-80;106
2023-01-18;"TN";"Grizzlies";"Cavaliers";401468827;229;240;4.98062624509993;3.6;4.10606060606061;11;39;50;26;9;13;15;40;121;204;3.81096681096681;1.38095238095238;4.16666666666667;6;34;40;6;7;10;13;1;70
2023-01-18;"LA";"Pelicans";"Heat";401468828;222;0;0;0;0;0;0;0;0;0;0;0;0;0;219;2.91260390795995;1.08311688311688;4.875;17;40;57;22;6;12;8;29;102
2023-01-18;"OK";"Thunder";"Pacers";401468829;232;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-01-18;"UT";"Jazz";"Clippers";401468830;229;0;0;0;0;0;0;0;0;0;0;0;0;0;166;3.81529581529582;1.5;4.66666666666667;5;19;24;19;5;3;11;-99;66
2023-01-18;"CO";"Nuggets";"Timberwolves";401468831;240;238;5.06746031746032;2.4047619047619;5.91666666666667;18;27;45;27;8;14;21;-65;111;180;3.59166666666667;3.41558441558442;4;9;27;36;21;6;10;16;63;108
2023-01-18;"CA";"Lakers";"Kings";401468832;227;239;5.68441558441558;2.03333333333333;3.3031746031746;10;28;38;26;4;17;24;12;136;226;5.18235653235653;4.56904761904762;3.49047619047619;13;12;25;21;6;11;22;-8;123
2023-01-19;"Paris";"Pistons";"Bulls";401468833;234;240;4.74984917043741;2.25;3.35714285714286;10;33;43;25;9;23;20;-60;111;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-01-19;"MA";"Celtics";"Warriors";401468834;239;241;5.47180629827689;3.27380952380952;2;14;32;46;35;8;7;15;80;122;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-01-19;"MN";"Timberwolves";"Raptors";401468835;254;180;3.59166666666667;3.41558441558442;4;9;27;36;21;6;10;16;63;108;264;2.17489193999491;0.785714285714286;3.58333333333333;14;33;47;22;10;8;23;-15;101
2023-01-19;"AZ";"Suns";"Nets";401468836;229;155;2.43809523809524;1.58333333333333;2.25;8;32;40;11;5;9;10;-15;47;212;6.41413308913309;3.87142857142857;3.5;7;35;42;20;10;10;15;159;114
2023-01-19;"OR";"Trail Blazers";"76ers";401468837;200;223;5.35833333333333;2.4219696969697;5;10;35;45;32;3;9;15;76;126;240;5.49531024531024;2.11388888888889;6.08333333333333;14;30;44;24;12;13;17;60;123
2023-01-20;"FL";"Magic";"Pelicans";401468838;233;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-01-20;"GA";"Hawks";"Knicks";401468839;263;0;0;0;0;0;0;0;0;0;0;0;0;0;212;2.69797570850202;1.55952380952381;4.54166666666667;9;35;44;15;3;7;17;27;108
